item_id,period_id,source_type,panel_name,jobdesc_name,work_status,progress,is_included,before_customer_description,after_customer_description
b9e898ce-743a-524d-81be-f2fc94b1958a,2026-04-001,SMS_DB,"BUSI, FILTER BENSIN, FILTER UDARA, INTERCOOLER",CLEANING & PEMASANGAN,DONE,100,1,PELEPASAN + FLUSHING BERSIHKAN FUEL FILTER PERSIAPAN PEMASANGAN KE UNIT,"Pelepasan, flushing, dan pembersihan filter bensin sebagai persiapan pemasangan kembali ke unit telah selesai."
af4e0d04-a59f-5d0f-a542-af7e7f6db059,2026-04-001,SMS_DB,"BUSI, FILTER BENSIN, FILTER UDARA, INTERCOOLER",CLEANING & PEMASANGAN,DONE,100,1,PELEPASAN + PENGECEKAN BUSI PERSIAPAN PERBAIKAN,Pelepasan dan pengecekan busi sebagai persiapan perbaikan telah selesai.
c8f385cf-2025-54cc-9388-9a754786e9c1,2026-04-001,SMS_DB,"BUSI, FILTER BENSIN, FILTER UDARA, INTERCOOLER",CLEANING & PEMASANGAN,DONE,100,1,PELEPASAN FILTER UDARA PERSIAPAN RESTORE,Pelepasan filter udara sebagai persiapan restorasi telah selesai.
51f7a36a-41c8-5523-89c6-c43eaa032e78,2026-04-001,SMS_DB,"BUSI, FILTER BENSIN, FILTER UDARA, INTERCOOLER",CLEANING & PEMASANGAN,DONE,100,1,PELEPASAN INTER COLLER PERSIAPAN TUNE UP ENGINE,Pelepasan intercooler sebagai persiapan tune up mesin telah selesai.
cb0fb989-fec7-5b81-9ed6-47f0c020b711,2026-04-001,SMS_DB,PELEPSAN EVAORATOR DAN FLUSHING JALUR,FLUSHING EVAPORATOR DAN JALUR,DONE,100,1,PEMBONGKARAN EVAPORATOR PERSIAPAN SERVICE SYSTEM AC,Pembongkaran evaporator sebagai persiapan servis sistem AC telah selesai.
da528fb4-8e3c-582b-ba4c-f775e4a1e2a9,2026-04-001,SMS_DB,PELEPSAN EVAORATOR DAN FLUSHING JALUR,FLUSHING EVAPORATOR DAN JALUR,DONE,100,1,FLUSHING JALUR EVAPORATOR PERSIAPAN REPAIR,Flushing jalur evaporator sebagai persiapan perbaikan telah selesai.
8d00b5dc-51bf-5ce1-acbf-04495b0fb5d6,2026-04-001,SMS_DB,"BUSI, FILTER BENSIN, FILTER UDARA, INTERCOOLER",CLEANING & PEMASANGAN,DONE,100,1,PEMASANGAN FILTER UDARA DAN INTER COOLER KE UNIT,Pemasangan filter udara dan intercooler ke unit telah selesai.
07fa88b9-091b-5019-a181-632f3826f4bb,2026-04-001,SMS_DB,"NEPEL POMPA BENSIN, FUEL PUMP ASSY","MODIPIKASI NEPEL, PERAKITAN FUEL PUMP ASSY",DONE,100,1,MODIFIKASI NEPEL + PERAKITAN FUEL PUMP ASSY KE UNIT,Modifikasi nepel dan perakitan fuel pump assembly ke unit telah selesai.
884e6ec4-78a3-5287-b784-dd658ff9d128,2026-04-001,SMS_DB,"BUSI, FILTER BENSIN, FILTER UDARA, INTERCOOLER",CLEANING & PEMASANGAN,DONE,100,1,PEMASANGAN FUEL FILTER KE UNIT,Pemasangan filter bensin ke unit telah selesai.
f5e656cb-6bfa-595e-83fb-98f191fdcb02,2026-04-001,SMS_DB,COVER EVAPORATOR,PREPARE PERSIAPAN PEMASANGAN,DONE,100,1,PERAKITAN EVAPORATOR PERSIAPAN PEMASANGAN KE UNIT,Perakitan evaporator sebagai persiapan pemasangan ke unit telah selesai.
